1082
1	2	3	1	4
2	3	4	2	5
3	4	5	3	6
4	5	6	4	7
5	6	7	5	8
6	7	8	6	9
7	8	9	7	10
8	9	10	8	11
9	10	11	9	12
10	11	12	10	13
11	12	13	11	14
12	13	14	12	15
13	14	15	13	16
14	15	16	14	17
15	16	17	15	18
16	17	18	16	19
17	18	19	17	20
18	19	20	18	21
19	20	21	19	22
20	21	22	20	23
21	22	23	21	24
22	23	24	22	25
23	24	25	23	26
24	25	26	24	27
25	26	27	25	28
26	27	28	26	29
27	28	29	27	30
28	29	30	28	31
29	30	31	29	32
30	31	32	30	33
31	32	33	31	34
32	33	34	32	35
33	34	35	33	36
34	35	36	34	37
35	36	37	35	38
36	37	38	36	39
37	38	39	37	40
38	39	40	38	41
39	40	41	39	42
40	41	42	40	43
41	42	43	41	44
42	43	44	42	45
43	44	45	43	46
44	45	46	44	47
45	46	47	45	48
46	47	48	46	49
47	48	49	47	50
48	3	4	1	6
49	4	5	2	7
50	5	6	3	8
51	6	7	4	9
52	7	8	5	10
53	8	9	6	11
54	9	10	7	12
55	10	11	8	13
56	11	12	9	14
57	12	13	10	15
58	13	14	11	16
59	14	15	12	17
60	15	16	13	18
61	16	17	14	19
62	17	18	15	20
63	18	19	16	21
64	19	20	17	22
65	20	21	18	23
66	21	22	19	24
67	22	23	20	25
68	23	24	21	26
69	24	25	22	27
70	25	26	23	28
71	26	27	24	29
72	27	28	25	30
73	28	29	26	31
74	29	30	27	32
75	30	31	28	33
76	31	32	29	34
77	32	33	30	35
78	33	34	31	36
79	34	35	32	37
80	35	36	33	38
81	36	37	34	39
82	37	38	35	40
83	38	39	36	41
84	39	40	37	42
85	40	41	38	43
86	41	42	39	44
87	42	43	40	45
88	43	44	41	46
89	44	45	42	47
90	45	46	43	48
91	46	47	44	49
92	47	48	45	50
93	4	5	1	8
94	5	6	2	9
95	6	7	3	10
96	7	8	4	11
97	8	9	5	12
98	9	10	6	13
99	10	11	7	14
100	11	12	8	15
101	12	13	9	16
102	13	14	10	17
103	14	15	11	18
104	15	16	12	19
105	16	17	13	20
106	17	18	14	21
107	18	19	15	22
108	19	20	16	23
109	20	21	17	24
110	21	22	18	25
111	22	23	19	26
112	23	24	20	27
113	24	25	21	28
114	25	26	22	29
115	26	27	23	30
116	27	28	24	31
117	28	29	25	32
118	29	30	26	33
119	30	31	27	34
120	31	32	28	35
121	32	33	29	36
122	33	34	30	37
123	34	35	31	38
124	35	36	32	39
125	36	37	33	40
126	37	38	34	41
127	38	39	35	42
128	39	40	36	43
129	40	41	37	44
130	41	42	38	45
131	42	43	39	46
132	43	44	40	47
133	44	45	41	48
134	45	46	42	49
135	46	47	43	50
136	5	6	1	10
137	6	7	2	11
138	7	8	3	12
139	8	9	4	13
140	9	10	5	14
141	10	11	6	15
142	11	12	7	16
143	12	13	8	17
144	13	14	9	18
145	14	15	10	19
146	15	16	11	20
147	16	17	12	21
148	17	18	13	22
149	18	19	14	23
150	19	20	15	24
151	20	21	16	25
152	21	22	17	26
153	22	23	18	27
154	23	24	19	28
155	24	25	20	29
156	25	26	21	30
157	26	27	22	31
158	27	28	23	32
159	28	29	24	33
160	29	30	25	34
161	30	31	26	35
162	31	32	27	36
163	32	33	28	37
164	33	34	29	38
165	34	35	30	39
166	35	36	31	40
167	36	37	32	41
168	37	38	33	42
169	38	39	34	43
170	39	40	35	44
171	40	41	36	45
172	41	42	37	46
173	42	43	38	47
174	43	44	39	48
175	44	45	40	49
176	45	46	41	50
177	6	7	1	12
178	7	8	2	13
179	8	9	3	14
180	9	10	4	15
181	10	11	5	16
182	11	12	6	17
183	12	13	7	18
184	13	14	8	19
185	14	15	9	20
186	15	16	10	21
187	16	17	11	22
188	17	18	12	23
189	18	19	13	24
190	19	20	14	25
191	20	21	15	26
192	21	22	16	27
193	22	23	17	28
194	23	24	18	29
195	24	25	19	30
196	25	26	20	31
197	26	27	21	32
198	27	28	22	33
199	28	29	23	34
200	29	30	24	35
201	30	31	25	36
202	31	32	26	37
203	32	33	27	38
204	33	34	28	39
205	34	35	29	40
206	35	36	30	41
207	36	37	31	42
208	37	38	32	43
209	38	39	33	44
210	39	40	34	45
211	40	41	35	46
212	41	42	36	47
213	42	43	37	48
214	43	44	38	49
215	44	45	39	50
216	7	8	1	14
217	8	9	2	15
218	9	10	3	16
219	10	11	4	17
220	11	12	5	18
221	12	13	6	19
222	13	14	7	20
223	14	15	8	21
224	15	16	9	22
225	16	17	10	23
226	17	18	11	24
227	18	19	12	25
228	19	20	13	26
229	20	21	14	27
230	21	22	15	28
231	22	23	16	29
232	23	24	17	30
233	24	25	18	31
234	25	26	19	32
235	26	27	20	33
236	27	28	21	34
237	28	29	22	35
238	29	30	23	36
239	30	31	24	37
240	31	32	25	38
241	32	33	26	39
242	33	34	27	40
243	34	35	28	41
244	35	36	29	42
245	36	37	30	43
246	37	38	31	44
247	38	39	32	45
248	39	40	33	46
249	40	41	34	47
250	41	42	35	48
251	42	43	36	49
252	43	44	37	50
253	8	9	1	16
254	9	10	2	17
255	10	11	3	18
256	11	12	4	19
257	12	13	5	20
258	13	14	6	21
259	14	15	7	22
260	15	16	8	23
261	16	17	9	24
262	17	18	10	25
263	18	19	11	26
264	19	20	12	27
265	20	21	13	28
266	21	22	14	29
267	22	23	15	30
268	23	24	16	31
269	24	25	17	32
270	25	26	18	33
271	26	27	19	34
272	27	28	20	35
273	28	29	21	36
274	29	30	22	37
275	30	31	23	38
276	31	32	24	39
277	32	33	25	40
278	33	34	26	41
279	34	35	27	42
280	35	36	28	43
281	36	37	29	44
282	37	38	30	45
283	38	39	31	46
284	39	40	32	47
285	40	41	33	48
286	41	42	34	49
287	42	43	35	50
288	9	10	1	18
289	10	11	2	19
290	11	12	3	20
291	12	13	4	21
292	13	14	5	22
293	14	15	6	23
294	15	16	7	24
295	16	17	8	25
296	17	18	9	26
297	18	19	10	27
298	19	20	11	28
299	20	21	12	29
300	21	22	13	30
301	22	23	14	31
302	23	24	15	32
303	24	25	16	33
304	25	26	17	34
305	26	27	18	35
306	27	28	19	36
307	28	29	20	37
308	29	30	21	38
309	30	31	22	39
310	31	32	23	40
311	32	33	24	41
312	33	34	25	42
313	34	35	26	43
314	35	36	27	44
315	36	37	28	45
316	37	38	29	46
317	38	39	30	47
